date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,1,-1.6,2.2,2.5,,5,10.1,,1030.1,
2021-01-02,3.8,0,5.6,10.4,,349,23,,1011,
2021-01-03,0.4,-1.6,2.2,0.8,,354,15.1,,1019.9,
2021-01-04,0.9,-0.5,3.9,0,,1,18.4,,1014.6,
2021-01-05,-0.2,-1,0.6,0.3,,343,17.3,,1013,
2021-01-06,0.5,-1,4.4,0,,319,21.6,,1011.8,
2021-01-07,1.2,-1.6,5.6,0,,311,22,,1015,
2021-01-08,-0.1,-3.2,5,0,,313,17.3,,1013,
2021-01-09,-1.6,-4.3,2.2,0,,337,18.4,,1010.8,
2021-01-10,0.6,-2.7,5,0,,314,15.1,,1019.9,
2021-01-11,-0.3,-4.3,2.2,0,,262,9.4,,1023.8,
2021-01-12,0.8,-2.7,5.6,0,,283,11.9,,1018.3,
2021-01-13,1.8,-0.5,4.4,0,,245,11.2,,1015.5,
2021-01-14,1.8,-0.5,3.9,2.5,,210,8.6,,1011.5,
2021-01-15,2.2,0.6,5,0,,41,13.3,,1017.3,
2021-01-16,5.8,2.8,11.1,26.2,,146,29.9,,998.4,
2021-01-17,3.8,1.1,6.1,0,,247,29.9,,996.2,
2021-01-18,4.4,-0.5,7.2,0,,254,23.4,,1003.9,
2021-01-19,0.6,-2.7,5,0,,273,17.3,,1014.4,
2021-01-20,1.1,-3.8,3.3,0,,287,17.6,,1012,
2021-01-21,-3.3,-6,0,0,,231,12.6,,1008.3,
2021-01-22,1.7,-1,6.1,0,,264,15.5,,1003.5,
2021-01-23,-0.8,-8.2,1.1,0,,296,26.6,,1011.5,
2021-01-24,-5.6,-8.8,-0.5,0,,294,33.5,,1013.8,
2021-01-25,-3.5,-7.1,2.2,0,,309,20.9,,1016.9,
2021-01-26,-2.1,-5.5,1.7,5.6,,12,13.3,,1017,
2021-01-27,-0.9,-2.1,2.2,1.8,,348,13.7,,1015,
2021-01-28,-0.6,-8.8,0.6,1.3,,322,21.6,,1015.1,
2021-01-29,-9.6,-13.8,-7.7,0,,312,33.5,,1014.3,
2021-01-30,-10.4,-13.2,-6.6,0,,323,21.2,,1022.9,
2021-01-31,-9.9,-13.8,-4.9,0,,349,9.4,,1026.8,
2021-02-01,-2.8,-5.5,1.7,17.5,,33,33.5,,1018.4,
2021-02-02,0.1,-1,4.4,5.1,,8,30.6,,997.9,
2021-02-03,-0.6,-2.1,1.1,0,,302,16.9,,996,
2021-02-04,0.3,-1.6,2.8,0.3,,295,14.4,,1006.5,
2021-02-05,0.2,-3.2,5,0.3,,203,9.7,,1006.9,
2021-02-06,2.1,-1,5.6,0,,252,20.2,,1013,
2021-02-07,0.1,-3.2,2.8,11.2,,357,14.8,,1015.7,
2021-02-08,-4.1,-7.1,-1.6,0,,278,17.3,,1024.9,
2021-02-09,-4.3,-6,-2.7,4.3,,353,9.7,,1025.7,
2021-02-10,-3.8,-6.6,-0.5,0,,305,15.1,,1024.6,
2021-02-11,-3.9,-7.1,-1,0,,320,14,,1024,
2021-02-12,-7.2,-11.6,-2.7,0,,304,16.9,,1025.8,
2021-02-13,-5.2,-8.2,-1.6,0,,3,15.1,,1027,
2021-02-14,-1.8,-3.2,0.6,0,,12,9,,1024.1,
