date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2022-01-01,7.7,6.7,11.1,2,,66,5.4,,1009.7,
2022-01-02,7.4,0.6,7.8,5.8,,336,14.4,,1003.8,
2022-01-03,-1.4,-6,0.6,0,,338,22.7,,1019.3,
2022-01-04,-4.9,-8.2,-0.5,0,,269,15.8,,1026.3,
2022-01-05,2.8,-2.7,10.6,3,,197,18,,1014.1,
2022-01-06,4.6,0,6.1,0,,271,17.3,,1011.3,
2022-01-07,-0.5,-4.9,0.6,12.2,,316,21.6,,1011.7,
2022-01-08,-4.7,-8.2,-2.1,0,,290,17.3,,1029.7,
2022-01-09,-0.3,-6,6.1,0.3,,220,25.9,,1020.1,
2022-01-10,0.5,-5.5,4.4,0,,289,27,,1015.6,
2022-01-11,-9.1,-13.2,-5.5,0,,302,21.2,,1028.9,
2022-01-12,-5.3,-12.1,5.6,0,,222,20.9,,1022.1,
2022-01-13,2.3,-1.6,7.8,0,,148,6.8,,1016.3,
2022-01-14,2.8,-9.3,5,0,,346,26.3,,1008.8,
2022-01-15,-10.6,-15.5,-9.3,0,,310,27.7,,1020.5,
2022-01-16,-10.8,-14.9,1.7,0,,0,13.3,,1027.4,
2022-01-17,3.7,1.7,9.4,18.5,,165,38.5,,993.2,
2022-01-18,-0.5,-6,2.2,0,,290,29.2,,1004.7,
2022-01-19,-1.2,-6.6,7.8,0,,218,22.3,,1017,
2022-01-20,3,-7.1,5,3.8,,297,17.6,,1019.1,
2022-01-21,-8,-12.7,-5.5,0,,340,17.6,,1033.7,
2022-01-22,-7.7,-10.5,-3.2,0,,353,14.4,,1027.5,
2022-01-23,-3.7,-7.1,1.7,0.3,,235,16.2,,1011.5,
2022-01-24,-2.4,-4.9,-1,1,,334,11.9,,1011.9,
2022-01-25,0.5,-2.1,5,0.5,,247,14.4,,1013.8,
2022-01-26,-4,-11,-2.1,0,,319,19.8,,1025.3,
2022-01-27,-8.6,-12.7,-2.7,0,,262,13.7,,1029.3,
2022-01-28,-1.7,-3.8,2.2,0.3,,259,11.9,,1020,
2022-01-29,-4.8,-11,-1.6,11.4,,346,36.7,,1002.1,
2022-01-30,-9.3,-12.1,-4.9,0,,285,23,,1010.3,
2022-01-31,-6.2,-9.9,-0.5,0,,317,8.6,,1027.4,
2022-02-01,-3.5,-7.7,1.7,0,,18,14,,1034.9,
2022-02-02,1.7,-0.5,5.6,0,,14,2.5,,1031.4,
2022-02-03,4.3,1.7,8.3,4.3,,190,11.9,,1023.6,
2022-02-04,1.2,-5.5,4.4,47.5,,11,19.1,,1014.9,
2022-02-05,-5.4,-9.3,-4.3,1.3,,325,22.7,,1021,
2022-02-06,-7.9,-12.1,-2.7,0,,330,11.2,,1036.3,
2022-02-07,-1.7,-5.5,5,10.4,,31,6.8,,1027.1,
2022-02-08,3.7,1.7,5.6,12.4,,300,18,,1010.4,
2022-02-09,2,-1,6.1,0,,231,15.8,,1015.6,
2022-02-10,3.7,-1,10.6,0,,230,15.5,,1010.6,
2022-02-11,5.3,-0.5,11.1,0,,200,16.2,,1014.6,
2022-02-12,9.6,3.9,15.6,0,,239,23.4,,1012,
2022-02-13,0.9,-3.8,3.9,5.6,,345,16.2,,1019.7,
2022-02-14,-5.8,-9.9,-3.8,0.3,,320,23,,1017.3,
2022-02-15,-8.1,-11.6,-2.7,0,,278,18,,1034.2,
2022-02-16,-2.4,-8.2,8.3,0,,197,21.6,,1037.2,
2022-02-17,10.3,6.1,16.1,0.8,,205,27.7,,1018.1,
2022-02-18,10.7,-3.8,16.7,7.9,,275,34.9,,1002.6,
2022-02-19,-1.9,-6.6,3.9,0,,253,24.8,,1014,
2022-02-20,-4.2,-8.8,0.6,0,,255,25.2,,1026.4,
2022-02-21,3.3,-0.5,11.7,0,,214,16.6,,1025.9,
2022-02-22,3.8,-1,12.8,8.9,,90,14.4,,1025.5,
2022-02-23,14.1,0,20.6,0,,245,28.1,,1011.4,
2022-02-24,-1.6,-5.5,0,0,,325,15.5,,1030.5,
2022-02-25,-1.8,-7.7,0.6,17.8,,48,23.4,,1022.1,
2022-02-26,-5.8,-10.5,-0.5,0,,292,12.2,,1026.7,
2022-02-27,-1.1,-5.5,5,0,,260,24.5,,1013.3,
2022-02-28,-3.7,-7.7,-1.6,0,,317,19.8,,1022,
2022-03-01,-3.2,-8.2,3.3,2.3,,189,15.1,,1022.1,
2022-03-02,4.1,0.6,6.1,0,,263,17.3,,1012.9,
2022-03-03,1.9,-6,3.9,4.1,,297,25.9,,1014.9,
2022-03-04,-4.2,-8.2,1.7,0,,283,15.8,,1030.7,
2022-03-05,0.3,-3.2,5.6,0,,247,15.1,,1031.3,
2022-03-06,7.7,2.2,18.3,0.3,,207,25.6,,1014.5,
2022-03-07,13.7,10,17.8,7.9,,229,19.4,,1005.5,
2022-03-08,7,2.2,10,0,,287,27.4,,1012.5,
2022-03-09,2.2,0,4.4,6.6,,11,8.3,,1019.2,
2022-03-10,3.2,-1.6,10.6,0,,263,12.6,,1019.4,
2022-03-11,5,-0.5,10.6,0,,166,13.7,,1017.6,
2022-03-12,4.8,-4.3,7.8,9.1,,340,21.6,,994.7,
2022-03-13,-2.4,-5.5,2.2,0,,,29.5,,,
2022-03-14,3.4,-1.6,11.1,0,,237,18.4,,1026.1,
2022-03-15,8.5,5.6,15,0.5,,159,16.9,,1022.7,
2022-03-16,5.9,3.9,9.4,0,,69,13.3,,1022.6,
2022-03-17,6.1,3.3,8.9,0.8,,91,7.9,,1018.9,
2022-03-18,11.9,8.3,20,0,,307,9.7,,1013.8,
2022-03-19,9.5,6.1,12.8,5.1,,36,10.4,,1012.7,
2022-03-20,11,5.6,16.7,0,,270,16.9,,1005.3,
2022-03-21,9.9,6.1,15,0,,300,27,,1011.8,
2022-03-22,7.3,2.2,11.1,0,,308,25.2,,1017.2,
2022-03-23,3.7,0.6,6.1,0,,64,14,,1024.5,
2022-03-24,4.8,3.9,6.1,19,,83,27,,1018.7,
2022-03-25,7.6,3.9,15.6,6.4,,280,15.8,,1000.9,
2022-03-26,10,6.1,12.8,8.4,,267,15.5,,996.7,
2022-03-27,6.9,-0.5,10,0,,272,25.6,,998.2,
2022-03-28,-0.8,-6.6,0.6,0.3,,293,27.4,,1006.8,
2022-03-29,-2.6,-7.1,3.3,0,,305,28.1,,1015,
2022-03-30,2.8,-1.6,10,0,,274,20.9,,1018.9,
2022-03-31,10.6,4.4,18.3,3.8,,195,26.3,,1007.8,
2022-04-01,13.9,4.4,15.6,10.2,,271,22.7,,998.3,
2022-04-02,7.2,3.9,12.2,0,,295,24.5,,1012,
2022-04-03,6.4,1.7,8.9,0,,35,14.8,,1010.6,
2022-04-04,7.5,3.3,14.4,0.3,,309,20.2,,1010.2,
2022-04-05,10.1,6.1,15,0,,254,14.8,,1016.4,
2022-04-06,7.5,5,8.3,2.8,,68,16.6,,1014.7,
2022-04-07,6.9,3.9,9.4,0.3,,56,22,,1014.3,
2022-04-08,11.4,6.7,17.2,3.8,,193,19.8,,1002.4,
2022-04-09,10.5,6.1,15.6,2.8,,224,15.5,,1003.1,
2022-04-10,8.8,5,13.3,0,,293,22.3,,1003.6,
2022-04-11,9.8,4.4,17.8,0,,270,19.1,,1014.7,
2022-04-12,13.2,9.4,21.1,0.8,,255,15.5,,1013.8,
2022-04-13,15.7,8.3,22.8,0,,235,14.8,,1015.8,
2022-04-14,10.1,7.8,10,5.8,,5,15.1,,1011.4,
2022-04-15,12.6,7.8,19.4,0,,273,20.9,,1016.2,
2022-04-16,15.4,6.1,22.2,9.9,,220,26.3,,1012.3,
